item_id	コイン名	国	素材	年号	グレード	認定機関	判定	ステータス	証拠状況	コメント	URL	更新日
heritage_hk_spring_world_2026_apr_25027	Australia: Victoria gold Sovereign 1864-SYDNEY AU Details
(Tooled) PCGS,	GB	gold	1864		PCGS	CAP_BUY	INVESTIGATION	スラブ未確認	[CAP品質管理 2026-04-04] Yahoo参照エラー: 異なる銘柄・シリーズ・製品を参照。比較不能のため再調査必要。	https://coins.ha.com/itm/australia/australia-victoria-gold-sovereign-1864-sydney-au-details-tooled-pcgs-/a/61610-25027.s?ic4=ListView-ShortDescription-071515	2026-04-03T16:16:46.734119+00:00
noble_141_2026_apr_1034	George V - Elizabeth II, commemoratives, 1927 Canberra, 1951 Jubilee, 1954 Royal Visit. Polished, very fine or better....	UNKNOWN	gold	1927			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥57,000で仕入上限¥25,954。想定利益¥-14,150(ROI -27.6%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/1034	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_1200	George III, Bank of England, silver five shillings or dollar, 1804 (S.3768) top leaf to centre of E, no stop after REX....	GB	gold	1804			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 Yahoo相場不明のため利益計算不可。現地調査後に再評価。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/1200	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_1321	Charles I, gold unite, Oxford Mint, 1643, no mm, tall, well proportioned bust (S.2733). Cleaned, flat strike over face,...	UNKNOWN	gold	1643			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥855,000で仕入上限¥592,113。想定利益¥-173,750(ROI -22.6%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/1321	2026-04-03T17:49:32.785489+00:00
noble_141_2026_apr_1355	Elizabeth II, proof fifty pence, 2022, struck in .916 fine gold, Platinum Jubilee. In case of issue, FDC and rare,...	UNKNOWN	gold	2022			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥47,500で仕入上限¥18,181。想定利益¥-12,250(ROI -28.7%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/1355	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_1444	T.P.G.C. (gold) Marine Cup in 9 carat gold (10.02g) 'Won by/Rolf McCullum/1913' by W.J.D. Very fine.	UNKNOWN	gold	1913			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥57,000で仕入上限¥25,954。想定利益¥-14,150(ROI -27.6%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/1444	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_1654	Latvia, Republic, silver two lati, 1926 (KM.8). Uncirculated.In a slab by PCGS as MS65 (51357006).	UNKNOWN	silver	1926	MS65	PCGS	CAP_NG	INVESTIGATION	スラブ未確認	[INVESTIGATION/2026-04-04] Rule4違反: Yahoo比較元管理番号なし。Latvia 5 Lats参照はTYPE_ONLYで管理番号未確認。CEO_CHECK不可。再照合後に昇格検討。	https://www.numisbids.com/sale/10505/lot/1654	2026-04-03T17:29:00.784314+00:00
noble_141_2026_apr_1673	Netherlands, Dutch Republic, City of Deventer, silver rider or ducaton, 1666, (KM.62.1, Dav 4944), sea salvage from the...	UNKNOWN	gold	1666			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 Yahoo相場不明のため利益計算不可。現地調査後に再評価。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/1673	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_1674	Netherlands, Deventer, silver 28 stuivers or florin, 1684, countermarked with bundle of arrows, 1693 (KM.76 [host...	DE	gold	1684			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥28,500で仕入上限¥2,636。想定利益¥-8,450(ROI -32.9%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/1674	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_1676	Netherlands, Utrecht, silver rider or ducaton, 1711 (2), and third no date or arms visible, all with corrosion...	UNKNOWN	gold	1711			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 Yahoo相場不明のため利益計算不可。現地調査後に再評価。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/1676	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_1677	Netherlands, Overyssel, silver rider or ducatoon, 1734, salvaged from the 1735 wreck of VOC Vliegend Hart (Flying...	UNKNOWN	gold	1734			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 Yahoo相場不明のため利益計算不可。現地調査後に再評価。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/1677	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_1681	Palestine, British Mandate, 20 mils 1933; silver 50 mils 1934, 1935; silver 100 mils 1935. Very fine or better. (4)	GB	gold	1933			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 Yahoo相場不明のため利益計算不可。現地調査後に再評価。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/1681	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_273	Elizabeth II, circulated sets, 1966 (2). One in wallet, one carded. Very fine or better. (2)	UNKNOWN	gold	1966			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 Yahoo相場不明のため利益計算不可。現地調査後に再評価。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/273	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_291	Elizabeth II, mint gold two hundred dollars, 1980, Koala. In wallet of issue, uncirculated.	UNKNOWN	gold	1980			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥190,000で仕入上限¥129,636。想定利益¥-40,750(ROI -23.8%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/291	2026-04-03T16:13:08.459948+00:00
