item_id	コイン名	国	素材	年号	グレード	認定機関	ステータス	コメント	URL	更新日
CHG033-MARKET-STATUS-202604-GOLD-BARRIER	[市場メモ] 2026年4月 金価格高騰による仕入れ停滞記録						OBSERVATION	[CHG-033 MARKET STATUS 2026-04-03] STRUCTURAL BARRIER: Gold spot price ~USD 3,100+/oz as of 2026-04-03. Affected products and gaps: (1) Elizabeth II Sovereign NGC MS63: buy_limit USD 1,239, eBay USD 1,400-1,600 (gap +USD 161-361). (2) 1914 GB Half-Sovereign NGC MS63: Yahoo ref 110,880 JPY, buy_limit ~USD 467, eBay USD 799+ (gap +USD 332+). (3) USD 20 Liberty Double Eagle NGC MS62: Yahoo ref 801,000 JPY, buy_limit USD 3,697, eBay USD 4,200-4,400 (gap +USD 500+). Silver situation: (4) Mexico Libertad 1oz PF70: Japan market 12,500-25,000 JPY too low for min profit. (5) American Silver Eagle MS69: Japan market 20,405 JPY → buy_limit negative. (6) 1883-CC Morgan Dollar PCGS MS65 Non-GSA: eBay USD 569.50 vs buy_limit USD 560 (USD 9 over; also GSA product difference). RESUMPTION CONDITIONS: Gold coins viable when gold spot drops below ~USD 2,500/oz. RECOMMENDED ACTIONS: (A) Monitor weekly: Sovereign MS63 below USD 1,239 from US/UK sellers. (B) Monitor weekly: 1883-CC Morgan MS65 NGC GSA Hoard below USD 560 from US/UK sellers. (C) Expand Yahoo DB for Silver coins (Britannia, Canadian Maple). (D) Re-run world_auction_scan.py for non-gold world coins. Next re-evaluation: when gold spot < USD 2,600/oz or after next monthly world auction scan.		2026-04-03T15:05:52.020916+00:00
CHG033-MORGAN-1883CC-MS65-NEARMISS	1883-CC Morgan Dollar PCGS MS65 (Carson City, Non-GSA)						OBSERVATION	[CHG-033 NEAR-MISS 2026-04-03] eBay listing: collectibles-currency, 1883-CC PCGS MS65, $549.55 + $19.95 shipping = $569.50 total. Most recent Yahoo reference: NGC MS65 GSA Hoard ¥128,000 (2026-03-05). Calculated buy_limit (¥128k ref): ¥84,045 = $560.3. Gap: $569.50 - $560.3 = $9.50 over limit. Expected profit: ¥20,001 (¥-1 short of ¥20,000 minimum). With older ¥133,000 reference (2025-12-07): buy_limit = ¥88,136 = $587.6 → profit ¥20,001 = technically CAP_BUY, but reference is 3-6 months old (lower time weight per CEO rule). CRITICAL PRODUCT DIFFERENCE: eBay coin is PCGS-graded, Non-GSA. Yahoo reference is NGC GSA Hoard (includes original GSA envelope/box). GSA Hoard premium in Japan market is significant: same-grade Non-GSA coin likely sells ¥70,000-90,000, not ¥128,000. If sell_est = ¥80,000: revenue = ¥72,000, cost_limit = ¥39,250, buy_limit = ¥33,182 = $221 → FAR below $569.50. VERDICT: CAP_NG. GSA vs Non-GSA product difference invalidates comparison. ACTION: Monitor for GSA Hoard NGC MS65 1883-CC listings below $560 on eBay from US/UK sellers.		2026-04-03T15:05:02.506232+00:00
CHG033-SOVEREIGN-ELIZII-MS63-WATCH	Elizabeth II Gold Sovereign NGC MS63 (United Kingdom)						OBSERVATION	[CHG-033 NEAR-MISS (GOLD) 2026-04-03] Yahoo refs: NGC MS63 270,000 JPY (2026-02-08) and 271,000 JPY (2026-02-05) — reliable, recent. Calculated buy_limit (270k JPY): 185272 JPY = USD 1235.1. Expected profit if bought at limit: 36451 JPY at ROI 17.6%. NEAR-MISS EVENT: APMEX sold 1966 Elizabeth II Sovereign NGC MS63 at USD 1,157.82 on 2026-03-22 — this is BELOW buy_limit USD 1235.1 by USD 77.28. Would have been CAP_BUY (profit ~20,000+ JPY) if available. Current eBay market: USD 1,400-1,600 range (buy_limit exceeded by USD 161-361). ROOT CAUSE: Gold spot price ~USD 3,100+/oz in April 2026. Sovereigns contain 0.2354 troy oz gold → gold content value alone = USD 730 at current spot. WATCH TRIGGER: If gold corrects to ~USD 2,400/oz, eBay sovereign prices likely return to USD 900-1,100. ACTION: Monitor APMEX/eBay for Elizabeth II Sovereign NGC MS63 below USD 1235.1 from US/UK sellers. Recommended re-check: weekly when gold spot is below USD 2,600/oz.		2026-04-03T15:05:52.020916+00:00
noble_141_2026_apr_1154	George VI, 1952. Full mint bloom, some bright golden colour, choice uncirculated. (14)Ex G.C. Heyde Collection.	UNKNOWN	gold	1952			OBSERVATION	CAP_NG: Non-coin item (lot/collection/novelty). Not sourcing target.	https://www.numisbids.com/sale/10505/lot/1154	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_1351	Elizabeth II, proof gold five pounds and sovereign, 1981. FDC. (2) Ex Noble Numismatics Sale 132 (lot 3029).	GB	gold	1981			OBSERVATION	CAP_NG: Non-coin item (lot/collection/novelty). Not sourcing target.	https://www.numisbids.com/sale/10505/lot/1351	2026-04-03T17:49:15.355301+00:00
noble_141_2026_apr_1354	Elizabeth II, proof half sovereign in .916 fine gold, 1980. In wallet of issue with certificate, FDC.	GB	gold	1980			OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥32,000 (2026-02-01 / グレード不明)。 現在入札額¥380,000で仕入上限¥261,772。想定利益¥-78,750(ROI -23.0%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/1354	2026-04-03T17:49:15.355301+00:00
noble_141_2026_apr_1542	China, Republic, Sinkiang Province, silver sar or tael (1918) (KM.Y.45.2). Good very fine.	UNKNOWN	gold	1918			OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥20,500 (2025-04-13 / G)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/1542	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_1553	China, Republic, Yuan Shi Kai, silver ten cents or jiao, year 3 (1914) (KM.Y.326). Uncirculated.In a slab by PCGS as...	UNKNOWN	gold	1914		PCGS	OBSERVATION	グレード差あり (GRADE_DELTA: 本品?/参照G)。Yahoo参照¥20,500 (2025-04-13 / G)。 現在入札額¥33,250で仕入上限¥6,522。想定利益¥-9,400(ROI -31.4%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/1553	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_1671	Morocco, Hassan II, silver fifty dirhams, AH 1398/ 1978, Green March (KM.Y.133). FDC.In a slab by PCGS as MS68...	UNKNOWN	silver	1978	MS68	PCGS	OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥9,500 (2025-10-14 / グレード不明)。 現在入札額¥47,500で仕入上限¥18,181。想定利益¥-12,250(ROI -28.7%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/1671	2026-04-03T16:13:08.459948+00:00
noble_141_2026_apr_1671	Morocco, Hassan II, silver fifty dirhams, AH 1398/ 1978, Green March (KM.Y.133). FDC.In a slab by PCGS as MS68...	UNKNOWN	silver	1978	MS68	PCGS	OBSERVATION	同種コイン参照 (TYPE_ONLY)。Yahoo参照¥9,500 (2025-10-14 / グレード不明)。 現在入札額¥47,500で仕入上限¥18,181。想定利益¥-12,250(ROI -28.7%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10505/lot/1671	2026-04-03T10:19:48.610734+00:00
