item_id,title_snapshot,country,material,year,grade,cert_company,cap_judgment,marketing_status,cap_bid_limit_usd,estimated_sell_price_jpy,expected_profit_jpy,expected_roi_pct,yahoo_ref_title,yahoo_ref_price_jpy,evidence_status,comparison_type,cap_comment,url,updated_at
noble_141_2026_apr_473,"Elizabeth II, Perth Mint, specimen one ounce platinum koala, 1988. In capsule of issue, uncirculated.",UNKNOWN,platinum,1988,,,CAP_BUY,MARKETING_REVIEW,679.0,150000,121800,90.2,"[メタル地金計算] プラチナ1ozスポット,000/oz=¥150,000 (保守的スポット価格)",150000,スラブ未確認,NONE,"[メタル地金計算] 1oz純プラチナ コア価値=¥150,000(スポット,000/oz保守的試算)。Yahoo参照なし・TYPE_ONLYも不可。仕入上限¥101,818(≒79)。Noble入札想定¥9,500での想定利益¥121,800(ROI 90.2%)。✅ CAP_BUY：Noble落札価格¥9,500前後なら強い仕入推奨。ただし実物スラブ確認必須。",https://www.numisbids.com/sale/10505/lot/473,2026-04-03T16:39:54.706813+00:00
spink_css123_hk_2026_apr_1463,"People's Republic of China, [NGC MS70] gold 200 yuan, 2003, ""Panda"", 1/2oz pure gold, NGC highest possible grade, one...",UNKNOWN,gold,2003,MS70,NGC,CEO_CHECK,MARKETING_REVIEW,6938.0,1500000,632181,60.0,2014年◆中国 CHINA 銀貨 1oz .999 Ag SILVER 純銀 PANDA Smithsonian Institution NGC PF70 ULTRA CAMEO モダンコイン◆,23501,スラブ未確認,TYPE_ONLY,"[CEO_CHECK 金貨 Rule2 ★超希少★/2026-04-04] Spink CSS123B #1463。PRC金200元2003パンダ1/2oz NGC MS70。POP=11（世界11枚のみ最高鑑定）。見積HK0,000-30,000(¥390,000-585,000/,564-3,846) vs bl¥1,040,681(,938)。金内在価値,338=¥350,700(0.5oz×,675)。Yahoo参照は銀パンダ(別金属TYPE_ONLY)→根拠弱。金Rule2でCAP_BUY不可だが希少性最高。CEOの売価・希少性判断が最重要。入札なし5日後終了(2026-04-09)。",https://www.numisbids.com/sale/10494/lot/1463,2026-04-03T17:36:50.030442+00:00
noble_141_2026_apr_463,"Elizabeth II, Perth Mint, twenty five dollars, commemorative sovereign in .9167 fine gold, 2012. In cases of issue with...",GB,gold,2012,,,CEO_CHECK,MARKETING_REVIEW,2285.0,500000,196276,57.0,NGC鑑定PF70 ロイヤルミント 2025年 ソブリン銀貨 ピストルッチ 聖ジョージの竜退治 シルバー プルーフコイン Royal Mint Sovereign,32000,スラブ未確認,TYPE_ONLY,"[CEO_CHECK 金貨 Rule2/2026-04-04] Noble #463。Perth Mint EII 5金貨2012 FDC ×2本セット。見積AUD,700(≈¥256,500/,710) vs bl¥342,726(,285)。金0.2355oz×2本=¥330,300内在価値(spot,675)。TYPE_ONLY参照(Yahoo=銀製ソブリン→別金属)。金Rule2でCAP_BUY不可。CEOの目利き必要。入札なし11日後終了。",https://www.numisbids.com/sale/10505/lot/463,2026-04-03T17:32:49.001149+00:00
spink_css123_hk_2026_apr_1455,"People's Republic of China, [NGC PF69UC] gold proof 10 Yuan, 2000, ""Third Millennium"", AGW 0.1oz, mintage...",UNKNOWN,gold,2000,,NGC,CEO_CHECK,MARKETING_REVIEW,604.0,136000,44575,57.0,MS64 チベット 3Srang 銀貨 1936年 雪ヒョウ スノーライオン スラン NGC tibet スラング china,136000,スラブ未確認,TYPE_ONLY,"[CEO_CHECK 金貨 Rule2/2026-04-04] Spink CSS123B #1455。見積HK,500(≈¥68,250/53) vs bl¥90,600(04)。バッファ+¥22,350。0.1oz AGW NGC PF69UC 限定5000枚。Yahoo参照はチベット銀貨(別銘柄TYPE_ONLY)→売価根拠弱。金スポット高騰でCAP_BUY不可。CEOの売価判断推奨。入札なし、5日後終了(2026-04-09)。",https://www.numisbids.com/sale/10494/lot/1455,2026-04-03T17:37:22.87455+00:00
spink_css123_hk_2026_apr_1457,"People's Republic of China, [NGC PF 69UC] platinum 100 yuan, 2002, ""Panda 20th Anniversary"", 99.95% pure platinum,...",UNKNOWN,platinum,2002,,NGC,CEO_CHECK,MARKETING_REVIEW,244.0,70000,25160,52.0,新品未開封 NGC パンダ銀貨 30g Ag.999 10元 2021 China S10Y Panda First Releases MS70 中国 コイン スラブ入り 記念硬貨 純銀 セット,39800,スラブ未確認,TYPE_ONLY,"[CEO_CHECK 白金/2026-04-04] Spink CSS123B #1457。1/10oz Pt .9995 NGC PF69UC。見積HK,600(≈¥31,200/05) vs bl¥36,590(44)。白金spot,000/oz→0.1oz内在価値¥15,000。中国パンダPt20周年記念、日本売価¥70,000想定。Yahoo参照は銀貨(別金属TYPE_ONLY)→根拠弱。入札なし5日後終了。CEOの売価判断必要。",https://www.numisbids.com/sale/10494/lot/1457,2026-04-03T17:37:23.046908+00:00
noble_141_2026_apr_1357,"Charles III, proof .916 fine gold sovereign 2023. In case of issue with certificate 3080, FDC.",GB,gold,2023,,,CEO_CHECK,MARKETING_REVIEW,1389.0,280000,72350,34.0,NGC鑑定PF70 ロイヤルミント 2025年 ソブリン銀貨 ピストルッチ 聖ジョージの竜退治 シルバー プルーフコイン Royal Mint Sovereign,32000,スラブ未確認,TYPE_ONLY,"[CEO_CHECK 金貨 Rule2/2026-04-04] Noble #1357。proof gold sovereign 2023 FDC cert.3080。見積AUD,800(≈¥171,000/,200) vs bl¥208,350(,389)。Elizabeth II 2022と同根拠。売価¥280,000想定。TYPE_ONLY(Yahoo参照銀貨)。金Rule2でCAP_BUY不可。入札なし11日後終了(2026-04-14)。CEOの売価判断必須。",https://www.numisbids.com/sale/10505/lot/1357,2026-04-03T17:37:23.176287+00:00
noble_141_2026_apr_1356,"Elizabeth II, proof .916 fine gold sovereign, 2022, Platinum Jubilee. In case of issue with certificate 4866, FDC.",GB,gold,2022,,,CEO_CHECK,MARKETING_REVIEW,1389.0,280000,72350,34.0,NGC鑑定PF70 ロイヤルミント 2025年 ソブリン銀貨 ピストルッチ 聖ジョージの竜退治 シルバー プルーフコイン Royal Mint Sovereign,32000,スラブ未確認,TYPE_ONLY,"[CEO_CHECK 金貨 Rule2/2026-04-04] Noble #1356。proof gold sovereign 2022 Platinum Jubilee FDC cert.4866。見積AUD,800(≈¥171,000/,200) vs bl¥208,350(,389)。売価¥280,000想定。0.2354oz金地金価値¥109,500。Yahoo参照は銀プルーフソブリン(別金属TYPE_ONLY)→根拠弱。金Rule2でCAP_BUY不可。入札なし11日後終了(2026-04-14)。CEOの売価判断必須。",https://www.numisbids.com/sale/10505/lot/1356,2026-04-03T17:37:23.114962+00:00
noble_141_2026_apr_1872,"Austria, Franz Joseph, 100 corona, 1915 restrike (KM.2819). Uncirculated.",AT,gold,1915,,,CEO_CHECK,MARKETING_REVIEW,2846.3,617500,83362,17.6,,131000,TYPE_ONLY参照,TYPE_ONLY,"[CEO_CHECK Rule2 GOLD/WORLD/2026-04-04] Noble141 lot 1872 Est AUD6500 (sell=617500jpy). bl=2846USD. profit=83,362jpy ROI=17.6%. TYPE_ONLY: Austria 100corona vs 1duc ref",https://www.numisbids.com/sale/10505/lot/1872,2026-04-03T18:03:05.794905+00:00
spink_css123_hk_2026_apr_1476,"People's Republic of China, a pair of gold proof 100 yuan and silver proof 10 yuan, 2014, ""Xinjiang Production &...",UNKNOWN,gold,2014,,,CEO_CHECK,MARKETING_REVIEW,1339.5,292500,39487,17.6,【高鑑定品】【本物】2014 China 中国 パンダ 10元 First Releases Ag.999 純銀 30g 銀貨 NGC MS70,29800,スラブ未確認,GRADE_DELTA,"[CEO_CHECK Rule2 GOLD/WORLD/2026-04-04] Spink lot 1476 Est HK10k-15k (sell=292500jpy). bl=1339USD. profit=39,487jpy ROI=17.6%",https://www.numisbids.com/sale/10494/lot/1476,2026-04-03T17:55:44.339787+00:00
spink_css123_hk_2026_apr_1478,"People's Republic of China, a set of 4x silver proof 10 yuan and 1x gold proof 100 yuan, 2014, ""World Heritage - West...",UNKNOWN,gold,2014,,,CEO_CHECK,MARKETING_REVIEW,1339.5,292500,39487,17.6,【高鑑定品】【本物】2014 China 中国 パンダ 10元 First Releases Ag.999 純銀 30g 銀貨 NGC MS70,29800,スラブ未確認,GRADE_DELTA,"[CEO_CHECK Rule2 GOLD/WORLD/2026-04-04] Spink lot 1478 Est HK10k-15k (sell=292500jpy). bl=1339USD. profit=39,487jpy ROI=17.6%",https://www.numisbids.com/sale/10494/lot/1478,2026-04-03T17:55:44.339787+00:00
noble_141_2026_apr_1970,"Mexico, Republic, fifty pesos, 1946 (KM.481). Lightly toned, nearly uncirculated.",MX,gold,1946,,,CEO_CHECK,MARKETING_REVIEW,3066.5,665000,89775,17.6,,1450000,TYPE_ONLY参照,TYPE_ONLY,"[CEO_CHECK Rule2 GOLD/WORLD/2026-04-04] Noble141 lot 1970 Est AUD7000 (sell=665000jpy). bl=3066USD. profit=89,775jpy ROI=17.6%. TYPE_ONLY: Mexico 50 pesos gold vs Peru 100 sol gold ref",https://www.numisbids.com/sale/10505/lot/1970,2026-04-03T18:06:16.983349+00:00
noble_141_2026_apr_1965,"Lesotho, Kingdom, proof piedfort 250 maloti, 1981, Royal Wedding (KM P.2). FDC.",LS,gold,1981,,,CEO_CHECK,MARKETING_REVIEW,2626.1,570000,76950,17.6,,505000,TYPE_ONLY参照,TYPE_ONLY,"[CEO_CHECK Rule2 GOLD/WORLD/2026-04-04] Noble141 lot 1965 Est AUD6000 (sell=570000jpy). bl=2626USD. profit=76,950jpy ROI=17.6%. TYPE_ONLY: Commonwealth Royal Wedding gold vs EII sovereign ref",https://www.numisbids.com/sale/10505/lot/1965,2026-04-03T18:06:16.983349+00:00
